Start time,End time,Duration,Duration.1,Rental_Place,Return_Place,START LAT,START LONG,END LAT,END LONG
2018-01-04T20:50:00.000Z,2018-01-04T20:57:00.000Z,464,7.73,MURRAY PLACE,RAPLOCH COMMUNITY CAMPUS,56.11901,-3.93656,56.1298,-3.94921
2018-01-04T22:08:00.000Z,2018-01-04T22:22:00.000Z,846,14.1,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",PORT STREET,56.14917,-3.92151,56.11538,-3.93741
2018-01-04T22:52:00.000Z,2018-01-04T23:10:00.000Z,1101,18.35,PORT STREET,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.11538,-3.93741,56.14917,-3.92151
2018-01-05T08:28:00.000Z,2018-01-05T08:37:00.000Z,498,8.3,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029
2018-01-05T08:34:00.000Z,2018-01-05T08:44:00.000Z,576,9.6,BRIDGE OF ALLAN TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.15685,-3.95705,56.14397,-3.92084
2018-01-05T08:37:00.000Z,2018-01-05T08:58:00.000Z,1285,21.42,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029
2018-01-05T08:38:00.000Z,2018-01-05T08:47:00.000Z,527,8.78,TRAIN STATION,THE PEAK,56.11945,-3.93537,56.1182,-3.91407
2018-01-05T08:44:00.000Z,2018-01-05T08:55:00.000Z,681,11.35,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029
2018-01-05T09:04:00.000Z,2018-01-05T09:28:00.000Z,1473,24.55,BORESTONE ROUNDABOUT,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.10034,-3.93702,56.14397,-3.92084
2018-01-05T09:11:00.000Z,2018-01-05T09:27:00.000Z,956,15.93,COMMUNITY HOSPITAL,CASTLE BUSINESS PARK / LOMOND COURT,56.10701,-3.93676,56.1282,-3.96029
2018-01-05T09:13:00.000Z,2018-01-05T09:35:00.000Z,1338,22.3,BANNOCKBURN TOWN CENTRE,RAPLOCH COMMUNITY CAMPUS,56.09013,-3.91239,56.1298,-3.94921
2018-01-05T09:29:00.000Z,2018-01-05T09:38:00.000Z,571,9.52,BRIDGE OF ALLAN,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.15297,-3.94723,56.14397,-3.92084
2018-01-05T09:36:00.000Z,2018-01-05T09:47:00.000Z,701,11.68,BRIDGE OF ALLAN,OLD STIRLING BRIDGE,56.15297,-3.94723,56.12954,-3.93506
2018-01-05T10:24:00.000Z,2018-01-05T10:31:00.000Z,437,7.28,THE PEAK,TRAIN STATION,56.1182,-3.91407,56.11945,-3.93537
2018-01-05T10:34:00.000Z,2018-01-05T10:50:00.000Z,985,16.42,BORESTONE ROUNDABOUT,TRAIN STATION,56.10034,-3.93702,56.11945,-3.93537
2018-01-05T11:38:00.000Z,2018-01-05T11:47:00.000Z,570,9.5,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14397,-3.92084,56.15297,-3.94723
2018-01-05T12:51:00.000Z,2018-01-05T13:11:00.000Z,1186,19.77,CASTLE BUSINESS PARK / LOMOND COURT,CASTLE BUSINESS PARK / LOMOND COURT,56.1282,-3.96029,56.1282,-3.96029
2018-01-05T13:47:00.000Z,2018-01-05T13:56:00.000Z,552,9.2,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",CAUSEWAYHEAD ROUNDABOUT,56.14397,-3.92084,56.13829,-3.92392
2018-01-05T15:51:00.000Z,2018-01-05T15:52:00.000Z,38,0.63,TRAIN STATION,TRAIN STATION,56.11945,-3.93537,56.11945,-3.93537
2018-01-05T15:53:00.000Z,2018-01-05T16:11:00.000Z,1087,18.12,TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14397,-3.92084
2018-01-05T16:21:00.000Z,2018-01-05T16:33:00.000Z,711,11.85,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537
2018-01-05T16:46:00.000Z,2018-01-05T16:57:00.000Z,662,11.03,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537
2018-01-05T17:03:00.000Z,2018-01-05T17:10:00.000Z,439,7.32,THE PEAK,TRAIN STATION,56.1182,-3.91407,56.11945,-3.93537
