start_time,end_time,duration,duration_mins,rental_place,return_place,start_lat,start_long,end_lat,end_long,trip_duration_minutes,year,month,hour,weekday,is_peak_hour,is_weekend
2018-01-04 16:34:00+00:00,2018-01-04 16:47:00+00:00,774,12.9,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537,13,2018,1,16,Thursday,1,0
2018-01-04 16:48:00+00:00,2018-01-04 16:59:00+00:00,652,10.87,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537,11,2018,1,16,Thursday,1,0
2018-01-04 17:08:00+00:00,2018-01-04 17:18:00+00:00,624,10.4,THE BACK WALK,CASTLEVIEW PARK & RIDE,56.11781,-3.93948,56.13104,-3.96703,10,2018,1,17,Thursday,1,0
2018-01-04 17:14:00+00:00,2018-01-04 17:23:00+00:00,538,8.97,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN TRAIN STATION,56.14397,-3.92084,56.15685,-3.95705,9,2018,1,17,Thursday,1,0
2018-01-04 17:48:00+00:00,2018-01-04 17:58:00+00:00,582,9.7,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392,10,2018,1,17,Thursday,1,0
2018-01-04 19:10:00+00:00,2018-01-04 19:20:00+00:00,595,9.92,RAPLOCH COMMUNITY CAMPUS,MURRAY PLACE,56.1298,-3.94921,56.11901,-3.93656,10,2018,1,19,Thursday,0,0
2018-01-04 20:50:00+00:00,2018-01-04 20:57:00+00:00,464,7.73,MURRAY PLACE,RAPLOCH COMMUNITY CAMPUS,56.11901,-3.93656,56.1298,-3.94921,7,2018,1,20,Thursday,0,0
2018-01-04 22:08:00+00:00,2018-01-04 22:22:00+00:00,846,14.1,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",PORT STREET,56.14917,-3.92151,56.11538,-3.93741,14,2018,1,22,Thursday,0,0
2018-01-04 22:52:00+00:00,2018-01-04 23:10:00+00:00,1101,18.35,PORT STREET,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.11538,-3.93741,56.14917,-3.92151,18,2018,1,22,Thursday,0,0
2018-01-05 08:28:00+00:00,2018-01-05 08:37:00+00:00,498,8.3,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029,9,2018,1,8,Friday,1,0
2018-01-05 08:34:00+00:00,2018-01-05 08:44:00+00:00,576,9.6,BRIDGE OF ALLAN TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.15685,-3.95705,56.14397,-3.92084,10,2018,1,8,Friday,1,0
2018-01-05 08:37:00+00:00,2018-01-05 08:58:00+00:00,1285,21.42,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029,21,2018,1,8,Friday,1,0
2018-01-05 08:38:00+00:00,2018-01-05 08:47:00+00:00,527,8.78,TRAIN STATION,THE PEAK,56.11945,-3.93537,56.1182,-3.91407,9,2018,1,8,Friday,1,0
2018-01-05 08:44:00+00:00,2018-01-05 08:55:00+00:00,681,11.35,TRAIN STATION,CASTLE BUSINESS PARK / LOMOND COURT,56.11945,-3.93537,56.1282,-3.96029,11,2018,1,8,Friday,1,0
2018-01-05 09:04:00+00:00,2018-01-05 09:28:00+00:00,1473,24.55,BORESTONE ROUNDABOUT,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.10034,-3.93702,56.14397,-3.92084,24,2018,1,9,Friday,1,0
2018-01-05 09:11:00+00:00,2018-01-05 09:27:00+00:00,956,15.93,COMMUNITY HOSPITAL,CASTLE BUSINESS PARK / LOMOND COURT,56.10701,-3.93676,56.1282,-3.96029,16,2018,1,9,Friday,1,0
2018-01-05 09:13:00+00:00,2018-01-05 09:35:00+00:00,1338,22.3,BANNOCKBURN TOWN CENTRE,RAPLOCH COMMUNITY CAMPUS,56.09013,-3.91239,56.1298,-3.94921,22,2018,1,9,Friday,1,0
